wavelength_m,wavelength_um,frequency_Hz,wavelength_nm,sun_5778K_W_m2_sr_m,sun_5778K_normalized,sun_6000K_W_m2_sr_m,sun_6000K_normalized,sun_5500K_W_m2_sr_m,sun_5500K_normalized,earth_300K_W_m2_sr_m,earth_300K_normalized,earth_288K_W_m2_sr_m,earth_288K_normalized,hot_star_10000K_W_m2_sr_m,hot_star_10000K_normalized,cool_planet_200K_W_m2_sr_m,cool_planet_200K_normalized
1.1377251493275454e-08,0.011377251493275455,2.635016534328989e+16,11.377251493275455,5.53846178761102e-72,2.0997971425600326e-85,1.8210680222582849e-68,5.718005235081522e-82,8.688100833936397e-77,4.214903722282787e-90,0.0,0.0,0.0,0.0,7.490174865840489e-32,1.828802617900957e-46,0.0,0.0
1.1412257993307667e-08,0.011412257993307667,2.6269337599605896e+16,11.412257993307668,1.067299065109089e-71,4.0464511864759985e-85,3.423222395094036e-68,1.0748639444957424e-81,1.732045350858753e-76,8.402762048963803e-90,0.0,0.0,0.0,0.0,1.0871485203070656e-31,2.6543840372164865e-46,0.0,0.0
1.1447372204331898e-08,0.011447372204331898,2.6188757790766424e+16,11.447372204331897,2.0525262715948184e-71,7.781743316826674e-85,6.422184573940074e-68,2.0165136373604825e-81,3.445514560504804e-76,1.671540469411356e-89,0.0,0.0,0.0,0.0,1.5760465276549362e-31,3.848078405824553e-46,0.0,0.0
1.1482594457762486e-08,0.011482594457762486,2.610842515624452e+16,11.482594457762486,3.93912437882452e-71,1.4934403146639907e-84,1.2024632585460265e-67,3.7756366721726863e-81,6.839309006577689e-76,3.317989689652988e-89,0.0,0.0,0.0,0.0,2.2820965172983068e-31,5.57197149584769e-46,0.0,0.0
1.151792508603357e-08,0.011517925086033571,2.602833893784593e+16,11.517925086033571,7.544349025817387e-71,2.8602892164613253e-84,2.247009172605628e-67,7.055425747524807e-81,1.3546794470024235e-75,6.572027135513217e-89,0.0,0.0,0.0,0.0,3.300542888766509e-31,8.058612226796472e-46,0.0,0.0
1.1553364422602146e-08,0.011553364422602146,2.594849837970213e+16,11.553364422602145,1.4419748490529236e-70,5.4669595707201025e-84,4.1906799930126794e-67,1.3158393780855312e-80,2.677502600735916e-75,1.2989508172121972e-88,0.0,0.0,0.0,0.0,4.76787352926807e-31,1.1641249701541765e-45,0.0,0.0
1.1588912801951151e-08,0.011588912801951151,2.5868902728263332e+16,11.588912801951151,2.7504905206393102e-70,1.0427935331784772e-83,7.800337488422951e-67,2.449242425271639e-80,5.280744559918931e-75,2.561875181637633e-88,0.0,0.0,0.0,0.0,6.879448408320362e-31,1.6796875218799168e-45,0.0,0.0
1.162457055959278e-08,0.011624570559592779,2.5789551232291028e+16,11.62457055959278,5.235785946997148e-70,1.9850436442756092e-83,1.449085926352554e-66,4.550011757765994e-80,1.0392862119269316e-74,5.04194346600751e-88,0.0,0.0,0.0,0.0,9.914563978934762e-31,2.4207419566015452e-45,0.0,0.0
1.1660338032071468e-08,0.011660338032071468,2.5710443142851292e+16,11.660338032071468,9.946621199259042e-70,3.77106271980621e-83,2.686762860476452e-66,8.436216502542053e-80,2.041045824450893e-74,9.901832180888783e-88,0.0,0.0,0.0,0.0,1.4272047835987756e-30,3.484666100960685e-45,0.0,0.0
1.169621555696723e-08,0.011696215556967229,2.5631577713307356e+16,11.696215556967228,1.88579262560598e-69,7.14960600715139e-83,4.97189078622135e-66,1.561133202954848e-79,3.999914968843688e-74,1.9404996342975592e-87,0.0,0.0,0.0,0.0,2.0520748294073374e-30,5.0103500750882453e-45,0.0,0.0
1.1732203472898771e-08,0.01173220347289877,2.5552954199312724e+16,11.732203472898771,3.5681214714586716e-69,1.3527819740195023e-82,9.182764698655298e-66,2.883313307227226e-79,7.82225550429821e-74,3.7948516565242832e-87,0.0,0.0,0.0,0.0,2.9471067911304962e-30,7.195661932317721e-45,0.0,0.0
1.1768302119526624e-08,0.011768302119526624,2.5474571858804304e+16,11.768302119526624,6.73775707927732e-69,2.554485993561899e-82,1.6927294159206674e-65,5.315032466391896e-79,1.526508696631126e-73,7.405631346261007e-87,0.0,0.0,0.0,0.0,4.227619367164986e-30,1.0322164041082835e-44,0.0,0.0
1.1804511837556508e-08,0.011804511837556509,2.539642995199503e+16,11.80451183755651,1.269766181861033e-68,4.814064811921778e-82,3.114342742341569e-65,9.77878249845053e-79,2.972729675434968e-73,1.442175869482211e-86,0.0,0.0,0.0,0.0,6.057518540388623e-30,1.4790049582378088e-44,0.0,0.0
1.1840832968742358e-08,0.011840832968742358,2.5318527741367308e+16,11.840832968742358,2.3881825061603415e-68,9.054316874704665e-82,5.718901448180702e-65,1.7956884652260707e-78,5.777011066188375e-73,2.8026315430680796e-86,0.0,0.0,0.0,0.0,8.669499587018479e-30,2.1167467815655006e-44,0.0,0.0
1.1877265855889723e-08,0.011877265855889723,2.524086449166567e+16,11.877265855889723,4.4827990476366685e-68,1.6995637041234394e-81,1.0481627331735665e-64,3.2911455927228165e-78,1.1203285719069588e-72,5.43510849858648e-86,0.0,0.0,0.0,0.0,1.2393536376238033e-29,3.02600836107069e-44,0.0,0.0
1.1913810842858925e-08,0.011913810842858925,2.5163439469890024e+16,11.913810842858926,8.397918876959947e-68,3.183903173393155e-81,1.9174200239103346e-64,6.020542670873618e-78,2.1681275796033976e-72,1.0518350535204239e-85,0.0,0.0,0.0,0.0,1.7697011231842424e-29,4.3209058599440844e-44,0.0,0.0
1.195046827456823e-08,0.01195046827456823,2.5086251945288856e+16,11.95046827456823,1.5701363247457754e-67,5.95285820244508e-81,3.500908682476308e-64,1.0992568058560237e-77,4.1872051018523656e-72,2.031360674455106e-85,0.0,0.0,0.0,0.0,2.524117660663325e-29,6.16289081148594e-44,0.0,0.0
1.1987238496997273e-08,0.011987238496997274,2.5009301189352e+16,11.987238496997273,2.9298740872519814e-67,1.1108032288376734e-80,6.380016740390478e-64,2.003273281149646e-77,8.069866949386642e-72,3.914976689777401e-85,0.0,0.0,0.0,0.0,3.5960504102417675e-29,8.780123991959693e-44,0.0,0.0
1.2024121857190136e-08,0.012024121857190135,2.493258647580416e+16,12.024121857190135,5.4564362075118036e-67,2.0686987825254035e-80,1.1604939689593262e-63,3.643856521933264e-77,1.5520796549031763e-71,7.529685071307808e-85,0.0,0.0,0.0,0.0,5.11740709863525e-29,1.2494671575065989e-43,0.0,0.0
1.2061118703258788e-08,0.012061118703258789,2.4856107080597692e+16,12.061118703258789,1.0141923935735673e-66,3.8451078506952836e-80,2.1069125331629057e-63,6.615533712763023e-77,2.9789956794114493e-71,1.4452157287091148e-84,0.0,0.0,0.0,0.0,7.274174127362236e-29,1.7760638336839022e-43,0.0,0.0
1.2098229384386298e-08,0.012098229384386297,2.477986228190593e+16,12.098229384386297,1.8814182882440546e-66,7.133021580923677e-80,3.8179934775936204e-63,1.1988188483654051e-76,5.70606496081852e-71,2.7682130885265727e-84,0.0,0.0,0.0,0.0,1.032829068806223e-28,2.5217575540074885e-43,0.0,0.0
1.2135454250830058e-08,0.012135454250830058,2.4703851360116524e+16,12.135454250830058,3.483427007413908e-66,1.3206717599543515e-79,6.905758938825432e-63,2.1683520484560085e-76,1.0907299737027634e-70,5.291515273634587e-84,0.0,0.0,0.0,0.0,1.4648250094447023e-28,3.5765197208632367e-43,0.0,0.0
1.2172793653925257e-08,0.012172793653925257,2.4628073597824316e+16,12.172793653925257,6.437051698153449e-66,2.4404795556284e-79,1.2467451718116972e-62,3.9146782723642786e-76,2.0807226795270414e-70,1.0094318579637404e-83,0.0,0.0,0.0,0.0,2.0751861921786165e-28,5.066778825413064e-43,0.0,0.0
1.221024794608801e-08,0.01221024794608801,2.455252827982492e+16,12.21024794608801,1.1872133965721384e-65,4.5010824184208494e-79,2.246655633221555e-62,7.054315662660195e-76,3.9612320211125747e-70,1.9217331738826576e-83,0.0,0.0,0.0,0.0,2.936594031629313e-28,7.16999395734853e-43,0.0,0.0
1.2247817480818846e-08,0.012247817480818846,2.4477214693107668e+16,12.247817480818846,2.1854187309319466e-65,8.285578527910152e-79,4.041013794376161e-62,1.268845410981705e-75,7.526068907172121e-70,3.651161106129117e-83,0.0,0.0,0.0,0.0,4.1509524697581305e-28,1.0134973988520199e-42,0.0,0.0
1.2285502612705973e-08,0.012285502612705973,2.440213212684902e+16,12.285502612705972,4.01519996298964e-65,1.522282852605813e-78,7.255070487112777e-62,2.278033028922876e-75,1.4270218483966632e-69,6.922985604738656e-83,0.0,0.0,0.0,0.0,5.8609780765134515e-28,1.4310175986238689e-42,0.0,0.0
1.2323303697428557e-08,0.012323303697428557,2.4327279872405988e+16,12.323303697428557,7.362899926014399e-65,2.791496415157057e-78,1.3001482640482952e-61,4.08235963146021e-75,2.700351274220733e-69,1.3100355134837004e-82,0.0,0.0,0.0,0.0,8.266323509988112e-28,2.0183072286371945e-42,0.0,0.0
1.2361221091760242e-08,0.012361221091760242,2.425265722330911e+16,12.361221091760243,1.3476042335538546e-64,5.109172234875629e-78,2.3256615876692008e-61,7.302387923340515e-75,5.099643170119688e-69,2.4740165187876568e-82,0.0,0.0,0.0,0.0,1.1645982569526463e-27,2.8434854716558066e-42,0.0,0.0
1.2399255153572329e-08,0.012399255153572328,2.4178263475256196e+16,12.399255153572328,2.4617850279336028e-64,9.333366132118375e-78,4.152455632747467e-61,1.3038372403601603e-74,9.611515475865126e-69,4.662884689109618e-82,0.0,0.0,0.0,0.0,1.638938958525109e-27,4.001636692889485e-42,0.0,0.0
1.243740624183732e-08,0.012437406241837319,2.4104097926105296e+16,12.43740624183732,4.488639312287288e-64,1.7017779237922648e-77,7.400665290051794e-61,2.323748610945648e-74,1.8079198189611564e-68,8.770855817836592e-82,0.0,0.0,0.0,0.0,2.3039539281409628e-27,5.625338594594457e-42,0.0,0.0
1.2475674716632232e-08,0.012475674716632232,2.403015987586826e+16,12.475674716632232,8.1688070842737e-64,3.0970400142601385e-77,1.316576919049687e-60,4.133944269790641e-74,3.393941325001904e-68,1.6465204763833916e-81,0.0,0.0,0.0,0.0,3.235270735044445e-27,7.899243603578688e-42,0.0,0.0
1.251406093914193e-08,0.01251406093914193,2.3956448626704252e+16,12.51406093914193,1.483830987903771e-63,5.6256487593937605e-77,2.337942620570183e-60,7.340949366165118e-74,6.3587244677249285e-68,3.0848412029584227e-81,0.0,0.0,0.0,0.0,4.538107196073074e-27,1.1080251755327112e-41,0.0,0.0
1.2552565271662697e-08,0.012552565271662697,2.388296348291283e+16,12.552565271662697,2.69026219330355e-63,1.0199591660760995e-76,4.144155209907293e-60,1.3012309752084255e-73,1.1889917271026726e-67,5.768217648618028e-81,0.0,0.0,0.0,0.0,6.358689276204214e-27,1.552538866318726e-41,0.0,0.0
1.2591188077605463e-08,0.012591188077605463,2.3809703750927784e+16,12.591188077605464,4.86846057616175e-63,1.8457795681389257e-76,7.332551798179233e-60,2.302361529389847e-73,2.2188780620864475e-67,1.0764559000798827e-80,0.0,0.0,0.0,0.0,8.900012853285574e-27,2.1730289475176915e-41,0.0,0.0
1.2629929721499404e-08,0.012629929721499403,2.3736668739310224e+16,12.629929721499403,8.793830247533607e-63,3.334005060255895e-76,1.2950711571491638e-59,4.0664179294076415e-73,4.1327243355263555e-67,2.004930135817322e-80,0.0,0.0,0.0,0.0,1.2443578251175238e-26,3.0382265954282355e-41,0.0,0.0
